Emotion,Statement
fear,going home holiday almost drowned zambezi river
shame,fooling around guy know
sadness,dog year lord grey died sleep death caused deeper sadness thought
sadness,friend died cancer year old
anger,put blame scored third goal match
sadness,failed standard examination first time
sadness,mother died cancer year illness think pregnant moment sadness next morning sun rose
joy,made wonderful driend understands me
guilt,ex boyfriend want sleep anymore insisted made love felt badly felt guilty
fear,jumped three men deserted area
guilt,friend going come stay weekend me something came cancelled him
shame,year back proposed love girl later turned related me though love other felt ashamed withdrew other
guilt,thanking relative favor done
sadness,learnt repeat first year found solution immediately blocked many difficulty
shame,bathing surf beach lost togs
disgust,heard postgraduate student talking girl unsiutable medicine
anger,close friend failed live expectation thereby causing pain spouse believe anger probably reaction fear able live expectation
fear,school acted group next day promised take revenge me
fear,large german shepherd dog ran barked he bite fortunately
disgust,finding people talking back
anger,called racial slur behind back
disgust,person disgust evrey time see get terrible feeling disgust whole appearance
fear,went first dental appointment
joy,passed qualified university
shame,girl going around forbidden alone house paid attention prohibition one day parent appeared jumped window saw me
disgust,way home bus man drunk fair amount alcohol started talking trying hug pat woman sitting next him fortunately me
sadness,way back inter rail board ferry stockholm father called o clock tell uncle died would seeing final journey within four day
guilt,lied saying never take bread dinning hall friend mine caught it thus proved fact take bread
sadness,never failed examination since standard experienced sad moment sat standard examination selected secondary school education
fear,suddenly met someone biology building night
guilt,time people s problem mother in law sometimes depressed time desire strength help
joy,accepted medical school medicine profession desired ever since childhood
fear,walking alone mid night happened put foot frog felt smooth thought snake felt afraid
anger,kicked chair classroom express anger
shame,reading book recall came mind slight sexual exploitation female year ago i e even sexual motif
disgust,felt disgusted restaurant appear clean orderly i like unclean environment
guilt,promised something people it
disgust,entered dissecting room first time think felt disgusted mainly bad smell formaline
sadness,heard death somebody liked much present either see person try share emotion friend
disgust,made friend classmate whose behaviour like tried flatter people respect me
joy,holiday going meet friend seen six month felt happy
disgust,everyday feeling many situational event cause unclean dirty environment illiteracy poverty neglect human resource disgust lack perception part u educated few lack drive drive towards redemption
joy,got kind girlfriend hunting long time
guilt,quarreling friend
anger,despite good performance excellent result management refused meet demand
sadness,felt home saw discussion without sense parent
joy,passed final examination school
shame,ashamed way father behaves mother sister too
disgust,saw dirty street
anger,love beautiful girl went back holiday found wth another guy said friend later found together convinced something fishy
fear,one night feeling somebody stealing car frightened go see
guilt,promised friend would take care something kept forgetting it asked it promised immediately however got started couple month felt betrayed friend
anger,nuisance used live flat month ago experienced feeling tried chase out
anger,someone told chosen english lecture class leader going not true
guilt,deliver message time
joy,went picnic lonavala felt full joy
disgust,close friend talking badly friend
joy,brother bought nice pair shoe south africa
shame,situation happened found kissing girl friend s girlfriend
fear,wandered mistake safety zone shooting range shot at
shame,drinking glass wine eating something suddenly appeared picture famine part africa
anger,anger felt boyfriend told mind breaking me i e u take road moment deliberately restricted date motif brought knowledge later
sadness,heard someone telling lie best friend
guilt,involved attempt man developed close warming relationship with although knew done everything could progress normal life poor felt guilty could done more
anger,good friend secondary school year graduation prepared celebrate birthday called appointment got together friend ready give entire day her however friend disappeared birthday phoned another friend didcovered thay busy call anymore
disgust,helping older people toilet
anger,ex boyfriend began date best friend seeing other found sleeping another girl without friend knowing told friend behind back
sadness,sad first boyfriend finished relationship
sadness,sudden end relationship first girlfriend
shame,punched ticket bus card ticket collector came turned forgotten it shame felt great though done purpose
fear,caught thug aged asked surrender property remember feeling scared
joy,one night boyfriend expressed love canteen presence friend giving present
guilt,felt guilty help person
disgust,spit vomit
disgust,somebody bully acted cruelly others unable defend taken notch began grovel disgusted grovelling manner treated others
guilt,angry unpleasant towards parent
fear,first came cal went rally sproul later learned rally conducted moonie cult taking picture rally afraid would circulate picture kidnap people know cult worked scared
disgust,girl liked accept curting
guilt,fought friend
shame,confessed girl friend now wife betrayed another woman
sadness,realized basic thing needed student like me
shame,little brother arrested police railway station drunk beer
anger,date friend see movie friend late waited long hour angry
fear,within hair s breadth knocking drunkard suddenly ran street fear came later realized could happened
shame,opinion guilt feeling go together shame refer situation guilt
guilt,argument friend mine
joy,got record gift friend
anger,when cleaned kitchen two hour later saw big mess irritated much
joy,seriously injured road accident first step took one crutch support felt good enjoy alive
disgust,despite affectionate sincere helpful close relative mine turned around accused inconsiderate relationship them
anger,misleaded person assured something would occur reason prepccupy myself suddenly saw implicated fact incompetence irresponsibility person
disgust,people discriminate people disgust me
disgust,read book torture book described exactly torturing done
shame,misunderstanding father time found wrong
shame,arranged beach party people father got drunk felt ashamed
joy,reunion wife legal separation
joy,weary week letter phonecalls visitor younger sister came cheese card pocket money me told working now
guilt,inadvertantly made close friend relative feel bad
shame,angry someone
joy,quarrel followed decision leaving person close me several day later regret great beside myself quite unexpectedly came conflict calmly solved glad possibility him
fear,week exam came got afraid would tackle question
sadness,sad lonely trying organize play student year instead materializing fizzled out worst thing play fell apart completely found weeping uncontrollably think it laugh off time intense
guilt,betrayed lover told something confidence felt time relay information back person concerned felt situation volitile without telling lover felt like piggy middle directly concerned maybe could call gossip felt different slept it waited thought would done it
disgust,people act important situation
sadness,result university entrance exam poor far expected thought would accepted university
shame,love rented room hotel one evening stayed hour leaving hotel felt ashamed
guilt,i ve always defended sister needed expense brother led feeling guilt towards him
fear,one summer camping friend devised elaborate plan scare camp attecked wild animal one them convincing campground home satanic organization
shame,adultery girlfriend friend mine learned
guilt,shirked gymnastic lesson met director school asked doing
joy,girl decided get back together separation
joy,day got telegram telling selected b a unza felt happy expected selected
anger,damaged wristwatch liked much
guilt,mother accused visiting enough hospital eye operation
joy,six month ago got acquaintanced person trusted infinitely expected help friendly feeling found much common view fate
shame,made fool examination
disgust,greeted friend respond
disgust,someone trusted disappointed terribly
guilt,year old stole pen stationery store enough money
guilt,able help sister understand husband bad man married him
anger,worst incident hostel life insulted close friend mine eve new year totally spoiled new year s night
anger,saw tv south korea cheating asian olympic game
guilt,called relationship one girl could see another
fear,hospital visit prior d c anasthesia expected miscarriage
guilt,leaving friend mine alone dance felt kept company
disgust,saw class leader acting like god chose people go english lecture
anger,one best friend accused giving early problem casual remark side angry hurt
shame,failing university entrance examn
guilt,broke friend s badminton racket kept quiet it
sadness,felt lonely dissatisfied realised could feel jealous woman boyfriend
joy,learned parent going abroad leaving alone year
sadness,father s death
shame,catched when little girl played trick startled wet pant
shame,saw something stupid ignorant happening countryside
guilt,starting romance husband went curt stayed car making love time seventeen immature day lost virginity
guilt,often feel guilty people e g visited older relative while
guilt,association polish visitor going back boat go see i chairman association
joy,article published college newspaper
fear,disappointment friend
joy,little cat sick liked much went veterinary it told tend really recovered health everybody said saved life
joy,got result passed form iii exam expected well
shame,close friend entrusted secret let cat bag
anger,friend stolen money k disappeared
anger,sister came back home reproached tidied house although working morning done nothing
disgust,failed grade twice passed third time
disgust,bus sitting next colleage drunk behaved keeping state
disgust,woman walked place employment urinated floor front everyone
fear,mother come home till late night age ago anyway know parent they ll back start thinking perhaps accident perhaps dead
shame,soppy poem written boy found every one read started teasing it
fear,woke middle night nightmare alone quiet dark
disgust,saw programme tv describing certain wild life film made disgusted treatment certain animal particular programme polar bear
sadness,grandfather died lived almost recluse caring well dad helped much could save himself unexpected death second de facto wife lucky jailed
guilt,wrongly accused classmate
disgust,cinema saw film showed person torn gut still alive
fear,english paper due friday returned tuesday tuesday afraid go class get paper knew bad
fear,stayed alone house great brittain lot rumour newspaper murderer still free
joy,passed driving test already first try although felt uncertain day came near
joy,important moment volleyball game made point set much stronger competitor
anger,form aunt lied daddy telling told pregnant daddy told mother asked true angry aunt
guilt,ran dog bicycle carrying tied handle bar
shame,small boy took coin empty taxi cab mother saw told driver it even knew driver
joy,entered university year struggle
fear,upon reading story serial killer name henry lee lucas given distinction killing people man began wonder take care safety
anger,stole dark blue tennis
shame,one night friend found dumped one girl another proceded lecture me
guilt,felt guilty read advertisement job chemist newspaper friend asked applied job told even seen paper day
disgust,hate behaviour called friend use bad language spit boast treat youngster badly
fear,went prayer meeting night unfortunately car broke down sister said walk alone ndirande chirimba around midnight reached home am afraid robber dardness
guilt,friend came visit there
fear,someone knocked door alone home though door bell looked peep hole covered called sister could help hundred kilometre away
guilt,feeling guilt really applies moral religious view being catholic went brought believe sexual relationship boyfriend many month later deeper self analysis began feel guilty realized gone wanted future
shame,sexual intercourse friend thought told friend his
joy,present boyfriend asked initially go waited long time occur
sadness,whenever read think way people treat animal nature
fear,first day university i know expect
anger,roommate unconsiderate
anger,family told leave willing accept condition imposed me
sadness,colleague failed contact arranged time
disgust,girl knew aborted threw seven month foetus man hole
sadness,conflict interest close friend mine thought interest friendship behaviour hurt friend another incident friend isolated without giving reason
anger,boarding school someone put lot tiny thorn bed complained everybody began teasing laughing inability find enemy lost temper
sadness,ignored fact could hear back
shame,fact pregnant always considered level headed sex high school
anger,felt anger roommate due habit leaving dirty dish sink generally cleaning himself
anger,english teacher unfairly made repeat semester thought passed ask parent money carry studying
fear,exam i finally take
disgust,time ago disgusted cleanness refectory institute
guilt,promised visit boyfriend fulfil promise
sadness,year ago christmas eve felt sad realized first time missed father died christmas year ago
shame,one unjust stupid towards someone else
anger,description
anger,colleague asked advice enough confidence asked third person
anger,social evening father brother sister close friend father s nd wife argument father abused friend sticking me
shame,went library three week opened found everyone busy
disgust,similar feeling felt quite recently travelling taxi driver treated roughly dishonestly chose longest route overdrawed almost one lev tried intimate me
sadness,set back
disgust,mistreated former primary school teacher mr zalu
fear,embarking university life came different city know anybody uni frightened well known loved friend also security taken away
anger,feel anger somebody forbids something
fear,heard woman raped uni near usually park car walk night although danger unnerved day fearful whenever walking area
guilt,get early enough watch class football team playing another team
disgust,noticed two spider running floor different direction
shame,small would always fight younger sister one time hit knocked wind her felt real bad it
guilt,happened met one teacher town working hour badness ask permission go guilty conscious
shame,prepare report write it read book off hand quite uneasy felt manage
anger,accused drunk bottle liquor refilling water
disgust,somebody went around spreading news like people money
sadness,finding life span china shorter west
guilt,scored third goal side football match william murray secondary school badly defeated
guilt,two timing going person guy relationship with
shame,arrived late job met troublesome bos
shame,saw year old son grab oxygen mask breathing difficulty bad conscience stopped smoking medication dilation breathing tube also caused sense guilt me
joy,week work volunteer biologic garden work garden contact volunteer filled joy also gave support failed passing driver s test
anger,made appointment friend drink coffee togehter however third time week arrived hour late
fear,operated knee go rehabilitation
guilt,speaking sister in law due lack interest relationship side
sadness,close friend family died
anger,walked teenage patient mine i work hospital going office drawer removed money purse
joy,made winning goal important football game
joy,first public speaking
shame,carried away talking visit abroad tended boast little till realized listener amused
shame,child parent caught pornographic magazine
disgust,childhood forced take cod liver oil
fear,one fellow student bunked field work attempt cover exposed though directly meet field work suprevisor afraid consequence
anger,dress stolen
shame,prepare read paper fellow student cope task
sadness,sister coma month due train accident brainfunctions disturbed never able walk hardly talk
fear,small car accident black ice road car front u started zig zagging we car front ¦ turn followed ended gully
anger,girl left me
shame,met friend seen long time heard trouble thought got touch earlier
sadness,friend told cousin girlfriend said treated mean nasty way surprised front people always treated friendly way sad it
guilt,blew someone confused irresponsibility afterwards felt guilty right
fear,home heard loud sound spitting outside door thought one family member would step spit bring germ house
guilt,shot bird head shotgun
joy,way france girlfriend went verona chance met italian couple gave u two ticket dress rehearsal aida different world u full fascination representation ate phantastic pizza restaurant near arena
fear,realized living borrowed time nuclear holocaust appears come closer every day
joy,holiday whitesand deserted beach cool evening near end summer fire sand toasted marshmellows cuddled drank champagne
shame,again quarrel come difficult relationship life partner threw book shelf sure disturbed neighbour since happened late night
guilt,yesterday broke sister s raio hears always school examination examination
sadness,dog stolen
disgust,wash grandmother get bathroom time
disgust,lie part person close me
anger,physical violence friend listen repeatedly tried warn him avail result eight people pissed off
fear,feared would able hand book report time started working late book difficult read teacher accept work handed late
joy,meeting family friend felt dear loved sharing gladness together birthday
anger,could reason friend angered me
sadness,death grandfather unexpected
joy,told got ticket film marathon wanted see
shame,one rainy day street wet walking slope fell carelessness many people saw me felt ashamesd moreover hurt ankle painful
disgust,disgusted see person vomitting told clean place vomit wa
sadness,close relative mine passed away first time someone close died
joy,christmas holiday met old friend seen six month
fear,sleeping alone house night boy putting short knocked window whispering open him
fear,came home discovered someone broken in realized probably still there
shame,feel ashamed fact even year independence indian poulation still poverty line
sadness,grandfather s funeral
anger,felt angry mother in law handle daughter properly fell bed hurt head
joy,sunny autumn day long rainy period
disgust,read book whose plot expression obscene bad taste
sadness,primary father died young know happened weeping relative tear made sad
joy,receiving much wanted letter good friend life abroad
disgust,got phone call stating one friend jail please come see him went jail saw him disgusted
shame,s going dinner celebrate friend s birthday older s cousin really wanted get drunk co i d visited cousin wife place quite bit always careful brought believe moderation drink but guilt repression etc mixed drinking smoking which rarely did got drunk leave table get sick loo later went home sick again never felt awful life want face tell flatmate family
anger,classmate told must bribed class leader let go english lecture
fear,guy chased jogging
shame,airport eighty beer can carrying bag spread around going metal detector
fear,first day close dead body third year unza school medicine
fear,mom called early morning on monday seen weekend understand could important make call strange hour missed call call back afternoon
anger,live week ago woke man end bed coming bed me really angry told get out surprised hesitated started move towards backed kept telling loudly firmly go i d got initiative succeeded powerful message
joy,got permission study place far away home
anger,editor changed heading article written considered heading derogatory towards person written about
disgust,watched report el salvador tv saw people murdered terrible method
fear,car accident car total wipe wipe out write off
shame,gave boyfriend brush off
joy,seeing sister year seeing her spent hour overseas husband month
sadness,relationship put trust broke up sad realized easy forget something one regarded great significant
sadness,say goodbye dear friend holiday
joy,joy giving birth sharing joy husband moment complete happiness feeling much love
fear,one camping night listened ghost story told classmate
shame,torn page library book felt ashamed this
sadness,half brother became seriously ill cancer died later
fear,broke knee skiing yastrebetz a racing track bulgarian winter resort
anger,discovered people trusted talking behind back
shame,felt ashamed feeling sorry passed situation betrayed girlfriend
guilt,behaved nasty manner towards friend said thing could said friendly way felt guilty
joy,depressed bad relationship first love called told would always care matter did
sadness,wanted pregnant succeed depressed every menstruation
fear,car parent friend back reverse pas river recall i yr seemed going fall drown
guilt,feel always guilty parent come home tell failed exam
guilt,felt guilty spent night boyfriend s place particularly harsh spiteful left home reason feared possible discussion subject wanted leave defiantly
sadness,sister lost one twin son my first nephew older one died week later
anger,angry sister began talk nonsense laugh way swept room anger grew i tried control myself telling leave alone vented anger obey me
shame,f led class riot however form master said conduct good asked tell name taken part it replied know
guilt,travelling bus school going home holiday bus unfortunately stepped bag delicate thing
shame,went disco friend started behaving badly embarrassing without reason
sadness,sad heard uncle passed away untimely home
guilt,attend social study observation class whole week i student trainee teacher anyway teacher thought okay teacher supposed observe well liked teacher fact really nice wanted get teaching hard topic given me
guilt,friend asked borrow note give away my note badly written
shame,felt shame found almost last exam
fear,one evening saw old guard man knew change something inhuman second really frightened me
sadness,death father even though close other
shame,ashamed boyfriend went sit another girl invited come watch drama festival
sadness,girlfriend gave mitten left me
joy,wanted go walk know either whom suddenly invitation appeared
sadness,heard former superior mine died later home home reading newspaper thought interaction longer possible limited scope human life sad
disgust,ward a patient suffering syphilitic paraplegia pressure sore wound offensive smell people place
guilt,one night went friend dinner tell parent would come back late thought phoning end not arrived home parent worried
guilt,meeting male friend whose wife affair
sadness,quarrelled younger sister said something boyfriend consequently looked saw thought trying separate them misunderstood me
sadness,shame disgust asked resign sorority ashamed
sadness,felt sad form three notice friend barley jumbe lost expensive new sport short trouser
shame,asked classmate teach homework asked study first it asked studied felt ashamed
sadness,horse liked much taken away
joy,passed standard exam jumped rolled ground
disgust,er winner fan coming woodwork jumping bandwagon disgust me
disgust,cigarette smoke usually feel disgust restaurant
joy,winning tight tennis match one set play team behind game last set match game
sadness,elder sister love much leaving west indie two year staying behind
shame,nearly caught masturbating
guilt,made misjudgement football match
anger,miss train late wait half hour next one
sadness,grandfather died thirteen year ago
joy,last night chat fellow student known half year first time speaking the language meaning inspiring discussion encounter
guilt,day decided get house saw brother s eye blamed situaiton
shame,went friend mine meet ex boyfriend know engaged married
anger,mother interfered life
shame,realized pregnant thought relative friend would think felt lot self pity
shame,one day went bath took clothes soon finished brother came in felt sad found reason came in
shame,position control myself said much cruel mother
anger,move different city company father worked also moved place difficult make new friend than
joy,singing lesson good last exercise singing scale well teacher seemed satisfied
fear,tooth pulled out upset ill
disgust,dancing malipenga traditional dance exaggerated step supposed make negative way happened front spectator bad boma group front line ability displayed ability count choosing winning side
sadness,ill stay hospital period time
fear,afraid moving away home moving helsinki study
anger,last week planned play tennis booked tennis court however arrived university gym clerk told court used lesson
joy,started new branch study failed former one got back exam paper happy know almost full mark
shame,discovered stealing piece bread home hungry hour supper
sadness,experienced maternal grandmother passed away last grand parent pas away
anger,argument best friend thought right not
anger,certain area party secretary came home morning said leave home build somewhere reason wanted establish market chairman knew nothing angry
guilt,lost study grant without attended exam career started late cancel registration
fear,taking venous blood another patient introduced air place puncturing swelling dangerous patient hence became afraid
anger,lady live bothered clean went holiday i live collective
guilt,read reference people read them
fear,day alone home coming home school know everyone else gone kept waiting come back nobody came getting late terrified
disgust,time ago girl tried make without action part used possible mean although behaved refusingly give longer time
shame,able convince class leader friend better go english lecture
sadness,family heard mother s cousin life england wrote u tell cancer lymph gland
sadness,good friend mine died funeral felt intense feeling sadness
guilt,misunderstood close friend wrong reason
sadness,sweetheart left me rather decided break mutual consent consequence unrestrained weeping feeling loneliness hopelessness disconsolation felt find friend talk joyfully forget
fear,one night bike home alone party found pursued man car
anger,someone always took care key sportshall stayed away without letting u know next time nothing happened
joy,day learnt admitted university
sadness,think parent getting old
joy,felt joy heard name called radio one student passed interview nursing selected start nursing
shame,mother looked drawer where keep personal thing found porno photo kept week split it
sadness,losing close people animal far i ve felt losing dog traffic accident
fear,big angry dog put snout arm made one movement would bitten me
anger,entrusted friend delivery money father however misused money
anger,mad dad
fear,afraid first boyfriend threatened make end relationship love enough loved much
disgust,happened could get school initially wanted ended something never thought would do
disgust,friend calling fat pear shaped front nice girl
joy,birthday old friend mine sent card met year glad thought me
anger,feel see somebody traying made stupid me
joy,gave mom gift wanted year raflected joy
shame,talk much cannot keep thing secret promised friend tell something anybody neverthless did got informed it felt ashamed
anger,sleeping nicely middle night became awake friend called in opinion nonsens reason
fear,stayed vienna class friend behaved incorrectly teacher threatened u exclusion school
shame,well pg test i got mark pas mark despite effort felt bad quite number friend better
anger,saw movie block affluence poverty existed saw rich made attempt help poor
anger,friend attend important meeting promised come pick up turn felt angry him
fear,examination
anger,situation car stolen
shame,answered certain question dr maqgda wrongly asked something femur answer saying something concerning brain ashamed amongst friend
sadness,felt sad lost three kwacha civo stadium sam mangwana playing rumba record expected wanted disco record
joy,told passed statistic exam expected happy
disgust,disgusted fact bad singer play opera and there protegts lover important felow time young able singer work quite different field life
shame,mother caught masturbating
fear,flat sydney rough area home flat burgled night way locking door
joy,seeing close friend returned twelve month overseas
fear,year ago father ill stayed hospital long time experienced terrible feeling might lose him
anger,big family grandmother s funeral met everybody pretended mourning reality like fashion show everybody wanted show himself
anger,friend deeply trusted happened lost confidence blame
joy,one saturday afternoon deliberately dressed nicely i bad mood late hoped go walk soft sunlight try uplift spirit lunch canteen two male classmate asked dressed nicely they seldom joked before one said lounge suit would look nice wore together
disgust,sleep bed hostel full dirt
joy,feel joy usually taken exam last one february
sadness,someone family died
anger,went school library asked book librarian told such however colleague asked gave him
shame,boat win race favored win
guilt,behaved improperly fought public place afterwards felt guilty conduct
anger,parent thought best pas final examination secondary school achieved good grade said nothing bad grade would become angry
anger,colleague rude understand subject discussing
disgust,classmate knocked door o clock morning disgusted behaviour
joy,day son said first time mummy
sadness,heard news death father evening alone night room trying remember face father
shame,emptied bucket water hospital
fear,night wife given birth twin felt fear hospital yard feared everything going order
sadness,short term romance summer vacation first met felt excited wanted avoid met time proposed stay apart felt sad then
sadness,alone home new year s eve
disgust,saw man dressed woman
shame,failed one first year s course
disgust,thief broke house disgusted behaviour find anything broke thing like window glass etc
anger,angry person behaved terribly ball offending relative
joy,got home job found letter university telling admitted begin study
guilt,one day found incontinent man ward patient guardian give bath left like felt guilty went back give bath
anger,someone stole bike
anger,person age insisted call mister refused succumb persisted got angry belittled me
joy,last year freshman yr day march well test seemed finally adjust college hot sunny walking front frat heard beach boy surfin usa overwhelming feeling cal good still somewhat
anger,landlord putting rent sneakly slimily
joy,today lot better architecture project expected
anger,someone played trick me
sadness,death mother in law long sick bed moment dying her
shame,father member public alcohol drug board picked police drunk public place
fear,crossing street together colleague mine suddenly found almost wheel truck
guilt,got bad fight bar friend received bad cut left eye trying separate u
shame,one day leader weekly meeting church fellowship day preparing exam estimate time travel church right twenty minute late prepared well led meeting badly ashamed myself
fear,going dentist
sadness,brother s visa u s a got cancelled
joy,relative visiting me
disgust,superior summer job swindled customer much could put difficult situation could detest him
joy,girlfriend arriving back overseas picking airport finally appeared custom came contact again
sadness,failing exam
shame,chatting friend boy came joined u boy took friend away left alone shame without knowing go there
shame,away night without told parent it morning came home mother looked tired said awake night angry disappointed
guilt,responsible getting friend run out vital cricket match
joy,met girl asked date agreed i thought girl would never like me emotion joy
shame,intoxicated invaded someone s a girl s personal space large extent
shame,insulted teacher front class
